"VendorID","passenger_count","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","total_amount","pickup_hour","speed","temp","hum","vis","fog","rain","gasprice"
NA,1,-73.970458984375,40.7507705688477,-73.9476013183594,40.7787246704102,14.8,10,18.9878048780488,22.2,61,16,0,0,1.297
NA,1,-73.9392242431641,40.8052787780762,-73.9583282470703,40.7671432495117,14.3,17,16,3.3,48,16,0,0,1.284
NA,1,-73.9612884521484,40.7806282043457,-73.9740905761719,40.7591514587402,13,8,7.0021978021978,8.9,77,9,0,1,1.264
NA,1,-73.9523468017578,40.772087097168,-73.9741439819336,40.7246742248535,16.3,18,16.8815943728019,21.7,93,6,0,0,1.133
NA,1,-73.9820175170899,40.7281913757324,-73.9881210327149,40.7228965759277,8.3,0,4.20560747663551,8.9,44,16,0,0,1.297
NA,1,-73.9836883544922,40.7552909851074,-73.9752044677734,40.7635536193848,5.3,12,20.64,8.3,27,16,0,0,1.297
NA,1,-73.9876556396484,40.7589454650879,-73.7829666137695,40.6439094543457,58.34,10,40.4367816091954,4.4,53,16,0,0,1.284
NA,2,-73.9573364257813,40.7797966003418,-73.951042175293,40.7828407287598,6.96,9,6.75767918088737,17.8,75,16,0,0,1.297
NA,1,-74.0015716552734,40.7359504699707,-74.0040435791016,40.7335014343262,6.3,17,13.9310344827586,7.2,49,16,0,0,1.297
NA,1,-73.996711730957,40.7257118225098,-74.0026245117188,40.7199974060059,5.3,8,7.31707317073171,21.1,84,14,0,0,1.133
NA,1,-74.0021591186524,40.7403602600098,-73.9850158691406,40.7539138793945,11.16,7,9.85016286644951,10,61,16,0,0,1.264
NA,1,-73.9829711914063,40.7765502929688,-73.9777908325195,40.7866897583008,6.96,11,13.7454545454545,13.9,49,16,0,0,1.284
NA,1,-73.9833602905274,40.7501602172852,-73.9882736206055,40.7487716674805,4.8,23,8.40875912408759,7.2,90,14,0,0,1.167
NA,1,-73.9510192871094,40.7789039611816,-73.9485931396484,40.8057708740234,10.8,13,15.24,4.4,51,16,0,0,1.284
NA,1,-73.9817886352539,40.746223449707,-73.9870376586914,40.7223510742188,10.8,22,14.5045372050817,1.7,52,16,0,0,1.284
NA,6,-73.9543228149414,40.7842788696289,-73.9547348022461,40.7777214050293,7.3,13,7.7625,22.2,61,16,0,0,1.264
NA,1,-73.9737548828125,40.7587776184082,-73.9533615112305,40.7884941101074,14.8,8,16.1797752808989,17.8,75,16,0,0,1.297
NA,2,-73.9724426269531,40.7531967163086,-73.9658355712891,40.7542114257813,8.15,18,4.72131147540984,25.6,43,12,0,0,1.155
NA,1,-74.007682800293,40.724552154541,-73.9747085571289,40.7597541809082,27.35,14,6.57777777777778,25,76,12,0,0,1.133
NA,1,-73.9759292602539,40.7520294189453,-73.9827575683594,40.7347793579102,7.8,8,12,17.8,75,16,0,0,1.297
NA,3,-73.9663772583008,40.7609062194824,-73.9562149047852,40.7781028747559,11,19,11.25,8,93,4,0,0,1.167
NA,1,-73.9817886352539,40.7322692871094,-73.9748992919922,40.7416763305664,5.8,6,26.5631067961165,4.4,49,16,0,0,1.297
NA,4,-73.9707336425781,40.7517127990723,-73.9927215576172,40.7214584350586,12.95,13,13.6062992125984,9.4,29,16,0,0,1.297
NA,2,-73.9820938110352,40.7594833374024,-73.9905548095703,40.7513618469238,5.3,10,12.4675324675325,4.4,53,16,0,0,1.284
NA,1,-73.9739151000977,40.7475357055664,-73.9894866943359,40.7352256774902,11.16,9,7.98784194528875,25,71,12,0,0,1.155
NA,2,-73.9548416137695,40.7792510986328,-73.9542388916016,40.7871932983398,7.3,12,8.97196261682243,8.3,86,11,0,1,1.264
NA,2,-73.9827270507813,40.7613487243652,-73.9739074707031,40.757381439209,6.8,23,7.53260869565217,1.7,52,16,0,0,1.284
